"Peak_Name"	"Peak_GLMNET"	"Peak_Cor"	"Gene"	"TSS"	"Rsq_GLMNET"
"LUAD_48453"	-0.532636948132972	0.0876148528789427	"HLA-G"	29826967	0.608582247300791
"PCPG_27981"	-0.332569747992797	-0.156334897312803	"HLA-G"	29826967	0.608582247300791
"CHOL_23578"	-0.521227436721984	0.0490201016111096	"HLA-G"	29826967	0.608582247300791
"LGG_67497"	0.401226855811059	0.647298605485661	"HSD17B1"	42549214	0.639293480664134
"UCEC_87669"	0	0.338987642670139	"HSD17B1"	42549214	0.639293480664134
"CHOL_55453"	0	0.131128783202798	"HSD17B1"	42549214	0.639293480664134
"LUAD_116747"	0	0.0116974434529093	"HSD17B1"	42549214	0.639293480664134
"MESO_65289"	0	0.0346703266488704	"HSD17B1"	42549214	0.639293480664134
"LUSC_97894"	0	0.0812543849822399	"HSD17B1"	42549214	0.639293480664134
"LIHC_101245"	0	0.11126953926605	"HSD17B1"	42549214	0.639293480664134
"TGCT_61020"	0	0.168565246217405	"HSD17B1"	42549214	0.639293480664134
"TGCT_61021"	0	0.234425897687921	"HSD17B1"	42549214	0.639293480664134
"LUAD_116766"	0	0.056213175646891	"HSD17B1"	42549214	0.639293480664134
"KIRP_116053"	0	0.289997656219938	"HSD17B1"	42549214	0.639293480664134
"UCEC_87642"	0	0.293613549313624	"HSD17B1"	42549214	0.639293480664134
"KIRP_116028"	0	0.148745134087344	"HSD17B1"	42549214	0.639293480664134
"ESCA_105760"	0	0.0949791440392896	"HSD17B1"	42549214	0.639293480664134
"ACC_74458"	0.0550620499258627	0.310053995491932	"HSD17B1"	42549214	0.639293480664134
"BLCA_86848"	0	0.341259841965723	"HSD17B1"	42549214	0.639293480664134
"UCEC_87659"	0	0.0796405294247978	"HSD17B1"	42549214	0.639293480664134
"MESO_65292"	0	0.216001903838762	"HSD17B1"	42549214	0.639293480664134
"KIRP_116021"	0	0.110177001582402	"HSD17B1"	42549214	0.639293480664134
"LIHC_101240"	0	0.142490389963615	"HSD17B1"	42549214	0.639293480664134
"PRAD_92565"	0	-0.140153974176889	"HSD17B1"	42549214	0.639293480664134
"THCA_77931"	0	-0.20689117229991	"HSD17B1"	42549214	0.639293480664134
"MESO_65294"	0	0.127615402682766	"HSD17B1"	42549214	0.639293480664134
"MESO_65295"	0	0.0261386455169719	"HSD17B1"	42549214	0.639293480664134
"MESO_65296"	0	-0.208092391461404	"HSD17B1"	42549214	0.639293480664134
"ESCA_105769"	0	0.150133882621236	"HSD17B1"	42549214	0.639293480664134
"UCEC_87671"	0	0.273699121993487	"HSD17B1"	42549214	0.639293480664134
"UCEC_87638"	0	0.358975515556166	"HSD17B1"	42549214	0.639293480664134
"MESO_65293"	0	0.00231544131005449	"HSD17B1"	42549214	0.639293480664134
"KIRC_78066"	0	0.186908041560614	"HSD17B1"	42549214	0.639293480664134
"MESO_65299"	0	0.244489880428464	"HSD17B1"	42549214	0.639293480664134
"TGCT_61022"	0	0.00244573905939476	"HSD17B1"	42549214	0.639293480664134
"LGG_67495"	0	0.0794889464976693	"HSD17B1"	42549214	0.639293480664134
"TGCT_61026"	0	0.314119964947841	"HSD17B1"	42549214	0.639293480664134
"UCEC_87658"	0	0.19860465634338	"HSD17B1"	42549214	0.639293480664134
"CESC_45892"	0	0.155423460089081	"HSD17B1"	42549214	0.639293480664134
"LIHC_101264"	0	0.130289281728317	"HSD17B1"	42549214	0.639293480664134
"UCEC_87661"	0	0.266660414539667	"HSD17B1"	42549214	0.639293480664134
"THCA_77943"	0.0989453830080476	0.482002043845794	"HSD17B1"	42549214	0.639293480664134
"UCEC_87664"	0	0.254297774366811	"HSD17B1"	42549214	0.639293480664134
"UCEC_87665"	0	0.257747115978181	"HSD17B1"	42549214	0.639293480664134
"UCEC_87670"	0	0.358277560178998	"HSD17B1"	42549214	0.639293480664134
"KIRP_102597"	0.0534534454553791	0.30956511051349	"IFI27"	94104836	0.682183426841063
"MESO_57441"	0	0.58762907683571	"IFI27"	94104836	0.682183426841063
"PCPG_62705"	0	0.0502852884244487	"IFI27"	94104836	0.682183426841063
"LGG_59955"	0	0.107495333373055	"IFI27"	94104836	0.682183426841063
"KIRP_102611"	-0.0112858333965321	-0.30765245356126	"IFI27"	94104836	0.682183426841063
"PCPG_62714"	0	-0.185245868975395	"IFI27"	94104836	0.682183426841063
"CESC_39981"	0	-0.0361433419194425	"IFI27"	94104836	0.682183426841063
"LGG_59953"	0	0.305511891593807	"IFI27"	94104836	0.682183426841063
"KIRP_102600"	0	0.156574196064801	"IFI27"	94104836	0.682183426841063
"KIRP_102607"	0	0.669456380257804	"IFI27"	94104836	0.682183426841063
"KIRP_102608"	0	0.546197670814819	"IFI27"	94104836	0.682183426841063
"KIRC_67905"	0.0115166906721776	0.47960499531246	"IFI27"	94104836	0.682183426841063
"CESC_39975"	0	-0.369844006110802	"IFI27"	94104836	0.682183426841063
"MESO_57436"	0	-0.245664137345984	"IFI27"	94104836	0.682183426841063
"LIHC_90471"	0	0.136314461082568	"IFI27"	94104836	0.682183426841063
"CESC_39977"	-0.0130661511233528	-0.205001172341262	"IFI27"	94104836	0.682183426841063
"ACC_65927"	-0.00306306292064612	-0.188863604547282	"IFI27"	94104836	0.682183426841063
"ACC_65931"	0.531360537176658	0.387726070148789	"IFI27"	94104836	0.682183426841063
"KIRP_102606"	0.775186825029198	0.752244701344353	"IFI27"	94104836	0.682183426841063
"LGG_59958"	0	0.373534936027824	"IFI27"	94104836	0.682183426841063
"PCPG_62713"	-0.0471974216050057	-0.0882954502048109	"IFI27"	94104836	0.682183426841063
"PCPG_62718"	-0.262148490714211	-0.0693427421806858	"IFI27"	94104836	0.682183426841063
"KIRP_102616"	-0.741871403337593	-0.573192115664751	"IFI27"	94104836	0.682183426841063
"LIHC_90483"	0	-0.158037693458326	"IFI27"	94104836	0.682183426841063
"BLCA_86901"	0	-0.125087466104004	"IFI35"	43006725	0.634840600977178
"HNSC_77190"	0	0.0631648912954315	"IFI35"	43006725	0.634840600977178
"PRAD_92640"	0	0.206652936800167	"IFI35"	43006725	0.634840600977178
"THCA_77988"	0	0.384801737435414	"IFI35"	43006725	0.634840600977178
"UCEC_87732"	0	0.263039193976953	"IFI35"	43006725	0.634840600977178
"UCEC_87735"	0	0.0285352954222624	"IFI35"	43006725	0.634840600977178
"THCA_78002"	0	0.195409567905929	"IFI35"	43006725	0.634840600977178
"TGCT_61064"	0	0.358894679279026	"IFI35"	43006725	0.634840600977178
"UCEC_87720"	0.260350940481437	0.429496483770977	"IFI35"	43006725	0.634840600977178
"UCEC_87723"	0	0.291858380304945	"IFI35"	43006725	0.634840600977178
"UCEC_87726"	0.804888039718663	0.611290423489566	"IFI35"	43006725	0.634840600977178
"TGCT_61067"	0	0.302967448755748	"IFI35"	43006725	0.634840600977178
"MESO_65348"	0.0806005226640248	0.395982553278056	"IFI35"	43006725	0.634840600977178
"UCEC_87733"	0	0.365923736079558	"IFI35"	43006725	0.634840600977178
"LUAD_116816"	0	0.169942797045639	"IFI35"	43006725	0.634840600977178
"GBM_2857"	-0.819923926299019	-0.0733525531209235	"IFI44"	78649796	0.658929947888501
"UCEC_4160"	0.359393504888922	0.540149670512359	"IFI44"	78649796	0.658929947888501
"MESO_3130"	0.337208217894352	0.488490383347976	"IFI44"	78649796	0.658929947888501
"SKCM_4033"	0.292321157616731	0.459237607639732	"IFI44"	78649796	0.658929947888501
"SKCM_4034"	0.302987189037047	0.564388452921971	"IFI44"	78649796	0.658929947888501
"CESC_3012"	0.0580345278624318	0.432324103128314	"IFI44"	78649796	0.658929947888501
"GBM_2857"	-1.18465118844259	-0.142525308286411	"IFI44L"	78619922	0.708094524493698
"UCEC_4160"	0.413366367409934	0.591310905710398	"IFI44L"	78619922	0.708094524493698
"MESO_3130"	0.0781768930598405	0.438709998721619	"IFI44L"	78619922	0.708094524493698
"SKCM_4033"	0.446817016118927	0.465138389343281	"IFI44L"	78619922	0.708094524493698
"SKCM_4034"	0.865201289024872	0.652834116618766	"IFI44L"	78619922	0.708094524493698
"CESC_3012"	0	0.366719992704903	"IFI44L"	78619922	0.708094524493698
"CESC_1573"	-0.0475482134512157	0.00591569498487863	"IFI6"	27672198	0.645093056436961
"CESC_1580"	0	0.0273887759408461	"IFI6"	27672198	0.645093056436961
"CESC_1581"	0	0.0659064073590588	"IFI6"	27672198	0.645093056436961
"SKCM_1811"	0	0.172918796576515	"IFI6"	27672198	0.645093056436961
"LUAD_2506"	0	0.00914446555455168	"IFI6"	27672198	0.645093056436961
"THCA_2063"	-0.0771517488919931	-0.00338639785095276	"IFI6"	27672198	0.645093056436961
"KIRC_1954"	0	0.191676251189733	"IFI6"	27672198	0.645093056436961
"MESO_1366"	0	0.0732978639769255	"IFI6"	27672198	0.645093056436961
"THCA_2071"	0	0.0925906130518187	"IFI6"	27672198	0.645093056436961
"TGCT_1478"	0	0.23185810367615	"IFI6"	27672198	0.645093056436961
"LGG_1247"	0.369194987246235	0.274033198601555	"IFI6"	27672198	0.645093056436961
"BLCA_2028"	0	0.0945474409356239	"IFI6"	27672198	0.645093056436961
"CESC_1575"	0.0809819180604204	0.204954385916393	"IFI6"	27672198	0.645093056436961
"SKCM_1826"	0	0.179778022521105	"IFI6"	27672198	0.645093056436961
"LGG_1255"	0	0.188468680634384	"IFI6"	27672198	0.645093056436961
"THCA_2085"	0	0.111072860420669	"IFI6"	27672198	0.645093056436961
"ESCA_3003"	0	0.126832482169153	"IFI6"	27672198	0.645093056436961
"SKCM_1821"	0.433907970768542	0.25971457929923	"IFI6"	27672198	0.645093056436961
"KIRP_79096"	0	0.284561752919353	"IFIT1"	89392546	0.692711625133446
"THCA_52168"	0.283906941904549	0.536154926151803	"IFIT1"	89392546	0.692711625133446
"MESO_44077"	0.175832872184294	0.387693498515411	"IFIT1"	89392546	0.692711625133446
"LGG_46247"	0.0974657706009061	0.307509805836471	"IFIT1"	89392546	0.692711625133446
"KIRP_79099"	0	0.427039271485112	"IFIT1"	89392546	0.692711625133446
"KIRC_52059"	0	0.370356432199243	"IFIT1"	89392546	0.692711625133446
"KIRP_79075"	-0.279201829452278	0.39997295811707	"IFIT1"	89392546	0.692711625133446
"LIHC_71734"	0.247700155323926	0.516414826321812	"IFIT1"	89392546	0.692711625133446
"KIRP_79077"	0	0.331656052693642	"IFIT1"	89392546	0.692711625133446
"LIHC_71737"	0.145276915718828	0.423662930979312	"IFIT1"	89392546	0.692711625133446
"LIHC_71738"	0.281361117640623	0.552658769897666	"IFIT1"	89392546	0.692711625133446
"LIHC_71742"	0.125953358383897	0.37629630975453	"IFIT1"	89392546	0.692711625133446
"KIRC_52041"	0.186639668918005	0.256003239287696	"IFIT1"	89392546	0.692711625133446
"HNSC_53900"	0	0.127110060541319	"IFIT1"	89392546	0.692711625133446
"LIHC_71744"	-0.157617856620005	0.068864165785062	"IFIT1"	89392546	0.692711625133446
"KIRP_79085"	-0.220313448832929	0.187288575091594	"IFIT1"	89392546	0.692711625133446
"LIHC_71747"	-0.227677155790585	0.206538441923301	"IFIT1"	89392546	0.692711625133446
"CHOL_38486"	0	0.345614993226999	"IFIT1"	89392546	0.692711625133446
"THCA_52160"	0.0532336021808893	0.293458104444566	"IFIT1"	89392546	0.692711625133446
"LIHC_71751"	0.0955383589719378	0.326337588111385	"IFIT1"	89392546	0.692711625133446
"CHOL_38487"	0.444342590006254	0.320312309852488	"IFIT1"	89392546	0.692711625133446
"PCPG_47321"	0	0.199496361022011	"IFIT1"	89392546	0.692711625133446
"COAD_68790"	0.182740705027644	0.612038256464592	"IFIT1"	89392546	0.692711625133446
"KIRC_52056"	0.0661834786773168	0.285478854880928	"IFIT1"	89392546	0.692711625133446
"KIRP_79102"	0	0.436931214704528	"IFIT1"	89392546	0.692711625133446
"LUSC_68720"	0.159857693871706	0.454544993840729	"IFIT1"	89392546	0.692711625133446
"KIRP_79104"	0.125394221029054	0.393623122765965	"IFIT1"	89392546	0.692711625133446
"BLCA_57659"	0.100152307265615	0.225593168267473	"IFIT1"	89392546	0.692711625133446
"PCPG_47328"	-0.0676590340480088	-0.0210920008474764	"IFIT1"	89392546	0.692711625133446
"LIHC_71769"	0	0.271140867018549	"IFIT1"	89392546	0.692711625133446
"THCA_52170"	0	0.366721348062353	"IFIT1"	89392546	0.692711625133446
"KIRP_79109"	0.0192385275585858	0.344302560016376	"IFIT1"	89392546	0.692711625133446
"KIRC_52064"	0	0.291749655413925	"IFIT1"	89392546	0.692711625133446
"LIHC_71771"	-0.161982214900199	0.122611440043696	"IFIT1"	89392546	0.692711625133446
"KIRC_52065"	0.113106494643382	0.189451269468353	"IFIT1"	89392546	0.692711625133446
"BLCA_57662"	0.040274094747765	0.14077874572207	"IFIT1"	89392546	0.692711625133446
"MESO_44081"	-0.195544298403571	0.0920984843774879	"IFIT1"	89392546	0.692711625133446
"THCA_52174"	0.220518068844172	0.449196725701278	"IFIT1"	89392546	0.692711625133446
"KIRP_79116"	0.189753240804837	0.47271435896867	"IFIT1"	89392546	0.692711625133446
"KIRP_79117"	-0.259051151628029	0.056386383334948	"IFIT1"	89392546	0.692711625133446
"KIRP_79118"	0	0.3097964343866	"IFIT1"	89392546	0.692711625133446
"CESC_30910"	-0.00139743614388217	0.263561703850827	"IFIT1"	89392546	0.692711625133446
"CESC_30911"	0	0.344325072014005	"IFIT1"	89392546	0.692711625133446
